ID_ISIN,NAME,Date,ID,CHG_PCT_1D,PX_HIGH,PX_LOW,PX_OPEN,PX_VOLUME
GB0008706128,LLOYDS BANKING GROUP PLC,28/08/2019,LLOY LN Equity,-0.4924,49.885,49.215,49.855,123280192
GB0008706128,LLOYDS BANKING GROUP PLC,29/08/2019,LLOY LN Equity,0.5857,50.14,49.24,49.245,160199652
GB0008706128,LLOYDS BANKING GROUP PLC,30/08/2019,LLOY LN Equity,0.0502,50.3,49.72,49.995,173433538
GB0008706128,LLOYDS BANKING GROUP PLC,02/09/2019,LLOY LN Equity,0.9833,50.77,49.84,49.84,74687356
GB0008706128,LLOYDS BANKING GROUP PLC,03/09/2019,LLOY LN Equity,-1.4507,50.23,49.225,49.91,170241322
GB0008706128,LLOYDS BANKING GROUP PLC,04/09/2019,LLOY LN Equity,0.0101,50.42,49.205,49.25,137063869
GB0008706128,LLOYDS BANKING GROUP PLC,05/09/2019,LLOY LN Equity,0.8771,50.56,49.14,49.25,165693926
GB0008706128,LLOYDS BANKING GROUP PLC,06/09/2019,LLOY LN Equity,0.02,50.4,49.26,49.57,214045339
GB0008706128,LLOYDS BANKING GROUP PLC,09/09/2019,LLOY LN Equity,0.2798,50.18,48.79,49.35,259188802
GB0008706128,LLOYDS BANKING GROUP PLC,10/09/2019,LLOY LN Equity,4.2646,52.42,50.01,50.17,269973574
GB0008706128,LLOYDS BANKING GROUP PLC,11/09/2019,LLOY LN Equity,0.5352,53.39,52.27,52.96,223861436
GB0008706128,LLOYDS BANKING GROUP PLC,12/09/2019,LLOY LN Equity,-1.2548,52.48,50.92,52.38,133200487
GB0008706128,LLOYDS BANKING GROUP PLC,13/09/2019,LLOY LN Equity,5.1791,54.94,52.41,52.43,279461509
GB0008706128,LLOYDS BANKING GROUP PLC,16/09/2019,LLOY LN Equity,-0.9336,54.68,53.9,54.13,170110572
GB0008706128,LLOYDS BANKING GROUP PLC,17/09/2019,LLOY LN Equity,-1.7738,54.15,53.16,54.02,131943735
GB0008706128,LLOYDS BANKING GROUP PLC,18/09/2019,LLOY LN Equity,-0.3198,53.45,52.64,52.68,94879659
GB0008706128,LLOYDS BANKING GROUP PLC,19/09/2019,LLOY LN Equity,2.0192,54.6,53.2,53.5,132863678
GB0008706128,LLOYDS BANKING GROUP PLC,20/09/2019,LLOY LN Equity,2.6822,55.8,54.76,54.8,329171500
GB0008706128,LLOYDS BANKING GROUP PLC,23/09/2019,LLOY LN Equity,-2.1798,55.23,53.71,55.23,104180638
GB0008706128,LLOYDS BANKING GROUP PLC,24/09/2019,LLOY LN Equity,-1.4733,54.88,53.31,54.51,117637992
GB0008706128,LLOYDS BANKING GROUP PLC,25/09/2019,LLOY LN Equity,-0.243,53.46,52.21,52.72,93888864
GB0008706128,LLOYDS BANKING GROUP PLC,26/09/2019,LLOY LN Equity,0.4122,53.97,53.09,53.09,113437659
GB0008706128,LLOYDS BANKING GROUP PLC,27/09/2019,LLOY LN Equity,2.5191,54.94,53.21,53.44,126464222
GB0008706128,LLOYDS BANKING GROUP PLC,30/09/2019,LLOY LN Equity,-1.4925,55.24,54.12,54.74,153044169
GB0008706128,LLOYDS BANKING GROUP PLC,01/10/2019,LLOY LN Equity,-1.3673,54.88,53.26,54.51,111468091
GB0008706128,LLOYDS BANKING GROUP PLC,02/10/2019,LLOY LN Equity,-3.3346,53.38,51.59,53.07,142510499
GB0008706128,LLOYDS BANKING GROUP PLC,03/10/2019,LLOY LN Equity,0.0388,51.86,51.06,51.34,113859780
GB0008706128,LLOYDS BANKING GROUP PLC,04/10/2019,LLOY LN Equity,0.7943,52.15,51.12,51.62,74487707
GB0008706128,LLOYDS BANKING GROUP PLC,07/10/2019,LLOY LN Equity,-0.6342,52.15,51.2,51.56,94634629
GB0008706128,LLOYDS BANKING GROUP PLC,08/10/2019,LLOY LN Equity,-1.3926,52.18,50.96,52.12,141583418
GB0008706128,LLOYDS BANKING GROUP PLC,09/10/2019,LLOY LN Equity,-0.5492,51.27,50.6,50.98,112392244
GB0008706128,LLOYDS BANKING GROUP PLC,10/10/2019,LLOY LN Equity,3.8856,52.83,50.79,50.82,165499691
GB0008706128,LLOYDS BANKING GROUP PLC,11/10/2019,LLOY LN Equity,12.265,59.54,54.06,54.55,539494753
GB0008706128,LLOYDS BANKING GROUP PLC,14/10/2019,LLOY LN Equity,-2.2662,57.97,56.41,57.75,199762983
GB0008706128,LLOYDS BANKING GROUP PLC,15/10/2019,LLOY LN Equity,5.2431,62.08,58.49,59.2,330349381
GB0008706128,LLOYDS BANKING GROUP PLC,16/10/2019,LLOY LN Equity,0.3453,61.82,59,61.31,322240932
GB0008706128,LLOYDS BANKING GROUP PLC,17/10/2019,LLOY LN Equity,-0.1147,64.17,59.85,60.1,384447550
GB0008706128,LLOYDS BANKING GROUP PLC,18/10/2019,LLOY LN Equity,-1.2631,61.15,59,59.05,246098322
GB0008706128,LLOYDS BANKING GROUP PLC,21/10/2019,LLOY LN Equity,2.0768,62.04,60.58,60.77,186798615
GB0008706128,LLOYDS BANKING GROUP PLC,22/10/2019,LLOY LN Equity,-1.6764,61.5,60.35,61,215324923
GB0008706128,LLOYDS BANKING GROUP PLC,23/10/2019,LLOY LN Equity,-0.2152,60.53,58.97,59.27,167021681
GB0008706128,LLOYDS BANKING GROUP PLC,24/10/2019,LLOY LN Equity,-0.7133,60.58,59.52,59.91,147269511
GB0008706128,LLOYDS BANKING GROUP PLC,25/10/2019,LLOY LN Equity,0.2506,60.43,58.86,59.66,124229359
GB0008706128,LLOYDS BANKING GROUP PLC,28/10/2019,LLOY LN Equity,-1.7833,60.07,58.5,59.9,145731616
GB0008706128,LLOYDS BANKING GROUP PLC,29/10/2019,LLOY LN Equity,-1.1369,58.8,57.77,58.72,153165783
GB0008706128,LLOYDS BANKING GROUP PLC,30/10/2019,LLOY LN Equity,-1.1329,58.77,56.98,58.73,172398188
GB0008706128,LLOYDS BANKING GROUP PLC,31/10/2019,LLOY LN Equity,-1.3889,57.06,55.89,56.67,228694123
GB0008706128,LLOYDS BANKING GROUP PLC,01/11/2019,LLOY LN Equity,0.8979,57.46,56.33,56.99,84557695
GB0008706128,LLOYDS BANKING GROUP PLC,04/11/2019,LLOY LN Equity,0.8376,58.51,57.79,57.82,128187123
GB0008706128,LLOYDS BANKING GROUP PLC,05/11/2019,LLOY LN Equity,0.5191,58.52,57.24,58.52,132560882
GB0008706128,LLOYDS BANKING GROUP PLC,06/11/2019,LLOY LN Equity,-1.1706,58.66,56.99,58.49,106949158
